Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-23 00:00:00+05:30,27218.19921875,27397.0,27012.69921875,27381.05078125,356100,0.0,0.0
2025-04-24 00:00:00+05:30,27402.349609375,27643.349609375,27182.25,27223.30078125,423900,0.0,0.0
2025-04-25 00:00:00+05:30,27265.25,27321.0,26577.30078125,26764.099609375,357700,0.0,0.0
2025-04-28 00:00:00+05:30,26669.75,26941.05078125,26613.19921875,26922.69921875,243000,0.0,0.0
2025-04-29 00:00:00+05:30,26972.44921875,27075.150390625,26845.55078125,26910.0,298300,0.0,0.0
2025-04-30 00:00:00+05:30,26918.849609375,27107.80078125,26843.650390625,27015.69921875,375400,0.0,0.0
2025-05-02 00:00:00+05:30,26968.55078125,27107.94921875,26816.44921875,26904.900390625,382600,0.0,0.0
2025-05-05 00:00:00+05:30,27009.599609375,27124.75,26948.599609375,27102.05078125,283400,0.0,0.0
2025-05-06 00:00:00+05:30,27063.25,27130.69921875,26916.400390625,26979.099609375,259800,0.0,0.0
2025-05-07 00:00:00+05:30,26737.94921875,27133.599609375,26736.05078125,27115.349609375,272600,0.0,0.0
2025-05-08 00:00:00+05:30,27101.900390625,27135.80078125,26678.650390625,26790.55078125,289200,0.0,0.0
2025-05-09 00:00:00+05:30,26391.900390625,26782.69921875,26372.19921875,26751.099609375,225800,0.0,0.0
2025-05-12 00:00:00+05:30,27220.75,27567.55078125,27182.650390625,27550.150390625,310200,0.0,0.0
2025-05-13 00:00:00+05:30,27556.30078125,27664.900390625,27418.94921875,27484.150390625,249800,0.0,0.0
2025-05-14 00:00:00+05:30,27533.599609375,27743.05078125,27494.80078125,27690.349609375,290800,0.0,0.0
2025-05-15 00:00:00+05:30,27751.80078125,27940.650390625,27627.25,27907.19921875,289800,0.0,0.0
2025-05-16 00:00:00+05:30,28010.05078125,28185.400390625,27915.94921875,28156.849609375,291100,0.0,0.0
2025-05-19 00:00:00+05:30,28185.650390625,28296.05078125,28156.400390625,28242.599609375,236100,0.0,0.0
2025-05-20 00:00:00+05:30,28395.400390625,28396.150390625,27821.900390625,27851.19921875,354800,0.0,0.0
2025-05-21 00:00:00+05:30,27930.30078125,28173.75,27837.599609375,28157.19921875,272900,0.0,0.0
2025-05-22 00:00:00+05:30,28089.5,28090.05078125,27774.900390625,27909.55078125,278300,0.0,0.0
2025-05-23 00:00:00+05:30,27955.5,28105.150390625,27860.75,28063.150390625,271600,0.0,0.0
2025-05-26 00:00:00+05:30,28161.75,28265.05078125,28135.25,28187.150390625,291800,0.0,0.0
2025-05-27 00:00:00+05:30,28240.19921875,28307.30078125,28076.849609375,28219.599609375,246200,0.0,0.0
2025-05-28 00:00:00+05:30,28250.0,28255.900390625,28087.099609375,28125.05078125,219300,0.0,0.0
2025-05-29 00:00:00+05:30,28192.80078125,28330.69921875,28152.05078125,28306.150390625,535000,0.0,0.0
2025-05-30 00:00:00+05:30,28349.5,28410.30078125,28083.900390625,28115.80078125,451800,0.0,0.0
2025-06-02 00:00:00+05:30,28090.80078125,28269.900390625,28061.900390625,28232.150390625,271200,0.0,0.0
2025-06-03 00:00:00+05:30,28312.900390625,28367.349609375,28140.099609375,28178.349609375,304000,0.0,0.0
2025-06-04 00:00:00+05:30,28235.75,28367.5,28179.0,28322.19921875,264100,0.0,0.0
2025-06-05 00:00:00+05:30,28379.400390625,28453.69921875,28283.349609375,28392.150390625,270000,0.0,0.0
2025-06-06 00:00:00+05:30,28473.150390625,28573.150390625,28380.849609375,28550.69921875,329000,0.0,0.0
2025-06-09 00:00:00+05:30,28699.75,28829.05078125,28636.150390625,28811.30078125,280400,0.0,0.0
2025-06-10 00:00:00+05:30,28896.25,28930.94921875,28770.05078125,28802.19921875,276400,0.0,0.0
2025-06-11 00:00:00+05:30,28770.650390625,28848.19921875,28608.599609375,28668.599609375,457100,0.0,0.0
2025-06-12 00:00:00+05:30,28742.44921875,28749.94921875,28231.94921875,28286.80078125,257800,0.0,0.0
2025-06-13 00:00:00+05:30,27864.400390625,28214.30078125,27833.19921875,28184.30078125,224200,0.0,0.0
2025-06-16 00:00:00+05:30,28211.25,28352.400390625,28047.05078125,28341.75,214900,0.0,0.0
2025-06-17 00:00:00+05:30,28364.19921875,28424.400390625,28281.650390625,28351.150390625,186400,0.0,0.0
